Program ID,Affiliate program name,Affiliate Link,GEO,Currency
1574,"EU Gardencenter","//ds1.nl/c/?si=1574&li=95251&wi=#MEDIA_ID#&ws=#SUB_ID#","","EUR"
7382,"Victoria Milan (International CPA)","//rkn3.net/c/?si=7382&li=1343284&wi=#MEDIA_ID#&ws=#SUB_ID#","International CPA","EUR"
7401,"Daisycon Comparison Tools","//ds1.nl/c/?si=7401&li=1344059&wi=#MEDIA_ID#&ws=#SUB_ID#","","EUR"
7630,"AliExpress","//ds1.nl/c/?si=7630&li=1354896&wi=#MEDIA_ID#&ws=#SUB_ID#","","EUR"
8274,"Alibaba","//ds1.nl/c/?si=8274&li=1381938&wi=#MEDIA_ID#&ws=#SUB_ID#","","USD"
8373,"Toluna (NL)","//ds1.nl/c/?si=8373&li=1386041&wi=#MEDIA_ID#&ws=#SUB_ID#","NL","EUR"
8374,"Toluna (DE)","//ds1.nl/c/?si=8374&li=1386066&wi=#MEDIA_ID#&ws=#SUB_ID#","DE","EUR"
8377,"Toluna (BE)","//ds1.nl/c/?si=8377&li=1386069&wi=#MEDIA_ID#&ws=#SUB_ID#","BE","EUR"
8378,"Toluna (FR)","//ds1.nl/c/?si=8378&li=1386072&wi=#MEDIA_ID#&ws=#SUB_ID#","FR","EUR"
8379,"Toluna (SE)","//ds1.nl/c/?si=8379&li=1386073&wi=#MEDIA_ID#&ws=#SUB_ID#","SE","EUR"
8382,"Toluna (NO)","//ds1.nl/c/?si=8382&li=1386076&wi=#MEDIA_ID#&ws=#SUB_ID#","NO","EUR"
8384,"Toluna (FI)","//ds1.nl/c/?si=8384&li=1386078&wi=#MEDIA_ID#&ws=#SUB_ID#","FI","EUR"
8405,"Toluna (DK)","//ds1.nl/c/?si=8405&li=1386103&wi=#MEDIA_ID#&ws=#SUB_ID#","DK","EUR"
8456,"Toluna (ES)","//ds1.nl/c/?si=8456&li=1387790&wi=#MEDIA_ID#&ws=#SUB_ID#","ES","EUR"
8550,"Toluna (UK)","//ds1.nl/c/?si=8550&li=1391746&wi=#MEDIA_ID#&ws=#SUB_ID#","UK","EUR"
9852,"Greenpanthera (DE)","//jdt8.net/c/?si=9852&li=1441296&wi=#MEDIA_ID#&ws=#SUB_ID#","DE","EUR"
9881,"Greenpanthera (BE)","//jdt8.net/c/?si=9881&li=1442259&wi=#MEDIA_ID#&ws=#SUB_ID#","BE","EUR"
9882,"Greenpanthera (FR)","//jdt8.net/c/?si=9882&li=1442260&wi=#MEDIA_ID#&ws=#SUB_ID#","FR","EUR"
9883,"Greenpanthera (PL)","//jdt8.net/c/?si=9883&li=1442261&wi=#MEDIA_ID#&ws=#SUB_ID#","PL","EUR"
10325,"Greenpanthera (DK)","//jdt8.net/c/?si=10325&li=1457113&wi=#MEDIA_ID#&ws=#SUB_ID#","DK","EUR"
10327,"Greenpanthera (NL)","//jdt8.net/c/?si=10327&li=1457115&wi=#MEDIA_ID#&ws=#SUB_ID#","NL","EUR"
10331,"Greenpanthera (AU)","//jdt8.net/c/?si=10331&li=1457119&wi=#MEDIA_ID#&ws=#SUB_ID#","AU","EUR"
10546,"Gaybuddy.nl","//lt45.net/c/?si=10546&li=1466986&wi=#MEDIA_ID#&ws=#SUB_ID#","nl","EUR"
10604,"Qupid (NL)","//lt45.net/c/?si=10604&li=1468510&wi=#MEDIA_ID#&ws=#SUB_ID#","NL","EUR"
10672,"Toluna (GR)","//ds1.nl/c/?si=10672&li=1473060&wi=#MEDIA_ID#&ws=#SUB_ID#","GR","EUR"
10726,"Toluna (AUS) 16+yo","//ds1.nl/c/?si=10726&li=1475882&wi=#MEDIA_ID#&ws=#SUB_ID#","AUS","EUR"
10728,"Toluna (NZ) 16+yo","//ds1.nl/c/?si=10728&li=1475884&wi=#MEDIA_ID#&ws=#SUB_ID#","NZ","EUR"
