"name","clicks","conversions","cost","profit","revenue","cpc","epc","cr","roi","traffic_sources","date"
"246",1,0,0.001044,-0.001044,0,0.001044,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"192",3,0,0.001906,-0.001906,0,0.000635,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"228",5,0,0.002933,-0.002933,0,0.000587,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"240",8,0,0.0067533,-0.0067533,0,0.000844,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"",9,0,0,0,0,0,0,0,0,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"224",12,0,0.001685,-0.001685,0,0.00014,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"238",22,0,0.00546496,-0.00546496,0,0.000248,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"250",25,0,0.0065495,-0.0065495,0,0.000262,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"82",32,0,0.0239668,-0.0239668,0,0.000749,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"80",69,0,0.070367,-0.070367,0,0.00102,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"108",593,0,0.375288,-0.375288,0,0.000633,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"110",685,0,0.418734,-0.418734,0,0.000611,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"114",1005,0,0.21220608,-0.21220608,0,0.000211,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"66",1096,0,1.444624952,-1.444624952,0,0.001318,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"152",1484,0,1.024987063,-1.024987063,0,0.000691,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"150",1657,0,2.37558672,-2.37558672,0,0.001434,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"154",1704,1,2.2988393,-1.8788393,0.42,0.001349,0.000246,0.058685,-81.72991,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"42",1762,0,0.93644210000001,-0.93644210000001,0,0.000531,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"68",1828,0,0.2615762728,-0.2615762728,0,0.000143,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"236",1918,0,0.191665436,-0.191665436,0,0.0001,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"62",3762,0,0.313813985,-0.313813985,0,0.000083,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"220",3798,0,7.765499676,-7.765499676,0,0.002045,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"164",6036,0,0.553425856,-0.553425856,0,0.000092,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"162",6181,0,0.527476695,-0.527476695,0,0.000085,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"212",8371,0,1.921772253,-1.921772253,0,0.00023,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"226",8706,1,8.8790482600001,-8.8790482600001,0,0.00102,0,0.011486,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"84",9219,0,7.8069286000001,-7.8069286000001,0,0.000847,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"104",13651,0,3.1763327855,-3.1763327855,0,0.000233,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"158",17018,0,2.878854159,-2.878854159,0,0.000169,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"{zone_id}",20102,1,0,0.31,0.31,0,0.000015,0.004975,0,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"54",23985,3,12.160940986,-9.1309409860001,3.03,0.000507,0.000126,0.012508,-75.084165,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"148",24875,1,1.1502378900001,0.34976210999994,1.5,0.000046,0.00006,0.00402,30.407806,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"112",28153,4,11.034714804,3.9181921577258,14.952906961726,0.000392,0.000531,0.014208,35.50787,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"44",29341,3,14.590161905001,4.6598380949994,19.25,0.000497,0.000656,0.010225,31.938221,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"234",31400,3,5.763274744,-4.8454360016211,0.91783874237881,0.000184,0.000029,0.009554,-84.074354,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"156",31480,0,5.5820849459999,-5.5820849459999,0,0.000177,0,0,-100,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"60",42579,3,6.3949573169999,-4.3765223370332,2.0184349799668,0.00015,0.000047,0.007046,-68.437084,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"106",64142,6,29.036704717903,-17.994794529941,11.041910187962,0.000453,0.000172,0.009354,-61.972578,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
"20",118391,2,15.353284555004,-14.823284555004,0.53,0.00013,0.000004,0.001689,-96.54797,"[437,436,435,434,432,430,421,402,388,381,363,341,313,303,284,282]","2025-07-22"
