Program ID,Affiliate program name,Affiliate Link,Currency
1574,"EU Gardencenter","//ds1.nl/c/?si=1574&li=95251&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
7382,"Victoria Milan (International CPA)","//rkn3.net/c/?si=7382&li=1343284&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18835,"Daisycon: Energievergelijker BE","//ds1.nl/c/?si=18835&li=1810724&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
7630,"AliExpress","//ds1.nl/c/?si=7630&li=1354896&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
8274,"Alibaba","//ds1.nl/c/?si=8274&li=1381938&wi=#MEDIA_ID#&ws=#SUB_ID#","USD"
8373,"Toluna (NL)","//ds1.nl/c/?si=8373&li=1386041&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
14190,"Grand Jury des Téléspectateurs (FR)","//ds1.nl/c/?si=14190&li=1611026&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
19334,"GreenPanthera (UK)","//jdt8.net/c/?si=19334&li=1828702&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
10546,"Gaybuddy.nl","//lt45.net/c/?si=10546&li=1466986&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
10604,"Qupid (NL)","//lt45.net/c/?si=10604&li=1468510&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
10938,"Bioloka (FR)","//lt45.net/c/?si=10938&li=1488374&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
11072,"Bioloka - Für den Rücken (DE)","//lt45.net/c/?si=11072&li=1492296&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
11372,"Toluna (HU)","//ds1.nl/c/?si=11372&li=1502928&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
11460,"GayPartner.be","//lt45.net/c/?si=11460&li=1506828&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
11794,"AVS4You (INT)","//lt45.net/c/?si=11794&li=1521752&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
12328,"Voidu","//lt45.net/c/?si=12328&li=1541858&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
12604,"Startselect","//lt45.net/c/?si=12604&li=1550574&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
12626,"Ipsos iSay","//ds1.nl/c/?si=12626&li=1551254&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
18993,"Ubisoft (INT)","//lt45.net/c/?si=18993&li=1816096&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
12921,"Goedgemerkt (NL / BENL)","//lt45.net/c/?si=12921&li=1569280&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
12922,"Gutmarkiert (DACH)","//lt45.net/c/?si=12922&li=1569333&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
12924,"Oznaczone (PL)","//lt45.net/c/?si=12924&li=1569345&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
12925,"Bienpegado (ES)","//lt45.net/c/?si=12925&li=1569358&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
12926,"easy2name (UK)","//lt45.net/c/?si=12926&li=1569361&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
12940,"Bienmarquer (FR / BEFR)","//lt45.net/c/?si=12940&li=1570645&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
13009,"SurveyPronto (UK)","//jdt8.net/c/?si=13009&li=1573108&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
17376,"Daisycon: Uitvaartverzekeringentool","//ds1.nl/c/?si=17376&li=1751150&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
13018,"Daisycon: Dating Compare-website.com/Widget","//ds1.nl/c/?si=13018&li=1573349&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
13179,"NordVPN","//lt45.net/c/?si=13179&li=1579168&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
13204,"DUSK","//lt45.net/c/?si=13204&li=1579837&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
13256,"Allyouplay","//lt45.net/c/?si=13256&li=1581736&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
13299,"Razer","//lt45.net/c/?si=13299&li=1584209&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
13310,"Kauartikel (INT)","//lt45.net/c/?si=13310&li=1584619&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
13365,"Ashley Madison","//lt45.net/c/?si=13365&li=1588121&wi=#MEDIA_ID#&ws=#SUB_ID#","USD"
14180,"LifePoints (AT)","//ds1.nl/c/?si=14180&li=1610692&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
13659,"YouGov (DK)","//rkn3.net/c/?si=13659&li=1597021&wi=#MEDIA_ID#&ws=#SUB_ID#","DKK"
13995,"Toluna (AR) - EUR","//ds1.nl/c/?si=13995&li=1604137&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
13996,"Toluna (CL) - EUR","//ds1.nl/c/?si=13996&li=1604138&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
14032,"Geekbuying","//lt45.net/c/?si=14032&li=1604762&wi=#MEDIA_ID#&ws=#SUB_ID#","USD"
14159,"PineCone Research (FR) 18-34yo","//ds1.nl/c/?si=14159&li=1610376&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
14219,"Mediumastro (NL)","//lt45.net/c/?si=14219&li=1611940&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
14241,"Mediumastro (BE)","//lt45.net/c/?si=14241&li=1612719&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
14381,"Hide.me (EU)","//rkn3.net/c/?si=14381&li=1618638&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
14504,"Moweb - myiyo (FR) CP1C","//rkn3.net/c/?si=14504&li=1623201&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
16041,"YouGov (DE) - Social media 16+yo","//rkn3.net/c/?si=16041&li=1690204&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
14666,"Lux Surveys (UK)","//jdt8.net/c/?si=14666&li=1630534&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
14676,"YouGov (DE) 16+yo","//rkn3.net/c/?si=14676&li=1631515&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
14965,"Superdry (EU)","//rkn3.net/c/?si=14965&li=1647334&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
14995,"Swagbucks (UK/DE/US/CA/AUS/IE) - USD","//rkn3.net/c/?si=14995&li=1650095&wi=#MEDIA_ID#&ws=#SUB_ID#","USD"
15019,"Giuseppe Zanotti (EU)","//rkn3.net/c/?si=15019&li=1650848&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
15024,"Snapdate.be","//lt45.net/c/?si=15024&li=1651244&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
15059,"Kate Spade (EU)","//rkn3.net/c/?si=15059&li=1652888&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
15144,"Mediumvoyance (BEFR)","//lt45.net/c/?si=15144&li=1657049&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
15224,"Stella McCartney (INT)","//fr135.net/c/?si=15224&li=1659440&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
15284,"Qupid (NO)","//lt45.net/c/?si=15284&li=1662365&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
16156,"iSurveyGO (USD)","//fr135.net/c/?si=16156&li=1694769&wi=#MEDIA_ID#&ws=#SUB_ID#","USD"
15446,"Blinkist (INT)","//fr135.net/c/?si=15446&li=1669087&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
15649,"Norton","//fr135.net/c/?si=15649&li=1676912&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
15679,"Zadig&Voltaire (INT)","//fr135.net/c/?si=15679&li=1679315&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
15761,"DHGate (INT)","//fr135.net/c/?si=15761&li=1682053&wi=#MEDIA_ID#&ws=#SUB_ID#","USD"
17606,"HintstersSurveys (ARG) - USD","//fr135.net/c/?si=17606&li=1759965&wi=#MEDIA_ID#&ws=#SUB_ID#","USD"
17506,"Toluna (South Korea) 16+yo","//ds1.nl/c/?si=17506&li=1756469&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
17602,"iSurveyWorld (PT) - USD","//fr135.net/c/?si=17602&li=1759961&wi=#MEDIA_ID#&ws=#SUB_ID#","USD"
16127,"Stanley (EU)","//jf79.net/c/?si=16127&li=1693172&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
16194,"YouGov 55+ (MX)","//rkn3.net/c/?si=16194&li=1695436&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
16214,"Wondershare (INT)","//jf79.net/c/?si=16214&li=1696203&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
16252,"Logitech (EMEA)","//jf79.net/c/?si=16252&li=1697762&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
16254,"Foreo (EU)","//jf79.net/c/?si=16254&li=1697784&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
16259,"Ultimate Ears (EMEA)","//jf79.net/c/?si=16259&li=1697852&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
16401,"Bioloka (EU)","//lt45.net/c/?si=16401&li=1704351&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
16460,"Hikvision Alarm System","//jf79.net/c/?si=16460&li=1706918&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
16474,"Mizuno (INT)","//jf79.net/c/?si=16474&li=1707525&wi=#MEDIA_ID#&ws=#SUB_ID#","EUR"
